Year,Title,Title Name,Average_Depth,Max_Depth,Average_Breadth,Max_Breadth,Num_Leaf_Nodes,Average_Branching_Factor,Variance_Branching_Factor,Number_of_Nodes,Group
2006,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2007,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2008,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2009,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2010,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2011,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2012,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2013,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2014,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2015,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2016,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2017,4,"Flag and Seal, Seat of Government, and the States",3.131818181818182,5,36.66666666666666,97,164,3.9107142857142856,16.86702806122449,220,Government Structure
2018,4,"Flag and Seal, Seat of Government, and the States",3.1357466063348416,5,36.833333333333336,97,165,3.928571428571429,16.852040816326532,221,Government Structure
2019,4,"Flag and Seal, Seat of Government, and the States",3.1357466063348416,5,36.833333333333336,97,165,3.928571428571429,16.852040816326532,221,Government Structure
2020,4,"Flag and Seal, Seat of Government, and the States",3.1357466063348416,5,36.833333333333336,97,165,3.928571428571429,16.852040816326532,221,Government Structure
2021,4,"Flag and Seal, Seat of Government, and the States",3.1357466063348416,5,36.833333333333336,97,165,3.928571428571429,16.852040816326532,221,Government Structure
2022,4,"Flag and Seal, Seat of Government, and the States",3.1357466063348416,5,36.833333333333336,97,165,3.928571428571429,16.852040816326532,221,Government Structure
2023,4,"Flag and Seal, Seat of Government, and the States",3.1357466063348416,5,36.833333333333336,97,165,3.928571428571429,16.852040816326532,221,Government Structure
1994,5,Government Organization and Employees,6.250394632991318,10,921.4545454545456,3107,7138,3.3805870580386923,7.648015399192193,10136,Government Structure
1995,5,Government Organization and Employees,6.250666666666667,10,920.4545454545456,3110,7134,3.3848211300568374,7.70246435282618,10125,Government Structure
1996,5,Government Organization and Employees,6.2380860505498745,10,942.3636363636364,3174,7305,3.3861483175432867,7.6705562524218385,10366,Government Structure
1997,5,Government Organization and Employees,6.238369857747021,10,945.818181818182,3197,7333,3.3874959296646043,7.668147132432042,10404,Government Structure
1998,5,Government Organization and Employees,6.240297121634169,10,979.0909090909092,3333,7588,3.3843494657448145,7.655858140601723,10770,Government Structure
1999,5,Government Organization and Employees,6.246080059029699,10,985.6363636363636,3352,7636,3.3814722395508423,7.651422161894073,10842,Government Structure
2000,5,Government Organization and Employees,6.2583564835558745,10,1014.4545454545456,3440,7865,3.387370977534912,7.611328060918234,11159,Government Structure
2001,5,Government Organization and Employees,6.2583564835558745,10,1014.4545454545456,3440,7865,3.387370977534912,7.611328060918234,11159,Government Structure
2002,5,Government Organization and Employees,6.249000173882803,10,1045.6363636363635,3532,8108,3.3886269888037712,7.5451977023471235,11502,Government Structure
2003,5,Government Organization and Employees,6.247837883669662,10,1072.1818181818182,3621,8319,3.393669064748201,7.536535458827354,11794,Government Structure
2004,5,Government Organization and Employees,6.234548975310634,10,1126.7272727272727,3802,8736,3.387916894477857,7.444654435958053,12394,Government Structure
2005,5,Government Organization and Employees,6.232245062474808,10,1127.7272727272727,3814,8745,3.389071038251366,7.445891486757016,12405,Government Structure
2006,5,Government Organization and Employees,6.263179009869213,10,1133.0,3836,8780,3.383654629378224,7.404533263287549,12463,Government Structure
2007,5,Government Organization and Employees,6.271996178039653,10,1141.7272727272727,3851,8851,3.3867313915857604,7.487979283835775,12559,Government Structure
2008,5,Government Organization and Employees,6.277091254752852,10,1147.6363636363635,3863,8894,3.384182305630026,7.498248460062893,12624,Government Structure
2009,5,Government Organization and Employees,6.2910739409098015,10,1163.090909090909,3903,9007,3.3781357274887776,7.4445496800199775,12794,Government Structure
2010,5,Government Organization and Employees,6.288169403099586,10,1184.909090909091,3969,9169,3.372056921086675,7.374122159761941,13034,Government Structure
2011,5,Government Organization and Employees,6.288523090992227,10,1192.909090909091,3991,9226,3.3678131416837784,7.354189878842408,13122,Government Structure
2012,5,Government Organization and Employees,6.304546134290415,10,1215.8181818181818,4042,9407,3.3710612553566928,7.430249012380217,13374,Government Structure
2013,5,Government Organization and Employees,6.306175789709506,10,1217.3636363636365,4046,9419,3.371097683786505,7.437311685322738,13391,Government Structure
2014,5,Government Organization and Employees,6.312518474726574,10,1230.1818181818182,4077,9516,3.369272908366534,7.384304849824712,13532,Government Structure
2015,5,Government Organization and Employees,6.312683284457478,10,1240.0,4117,9591,3.3684860459372685,7.367305215969394,13640,Government Structure
2016,5,Government Organization and Employees,6.336197021764032,10,1269.8181818181818,4172,9824,3.370415057915058,7.352416236993305,13968,Government Structure
2017,5,Government Organization and Employees,6.340437544107269,10,1288.1818181818182,4235,9968,3.371965730604474,7.325468244423118,14170,Government Structure
2018,5,Government Organization and Employees,6.34513767863367,10,1304.090909090909,4305,10093,3.373471307619944,7.387800461782225,14345,Government Structure
2019,5,Government Organization and Employees,6.345709742100532,10,1314.8181818181818,4343,10177,3.374241717218852,7.368109259351059,14463,Government Structure
2020,5,Government Organization and Employees,6.346923289183223,10,1317.8181818181818,4351,10199,3.3732836862927624,7.407785191338907,14496,Government Structure
2021,5,Government Organization and Employees,6.348041577751773,10,1320.6363636363635,4356,10218,3.3710837781387792,7.401168957706255,14527,Government Structure
2022,5,Government Organization and Employees,6.291556321980662,10,1476.090909090909,4942,11468,3.404487313902285,7.72169091454905,16237,Government Structure
2023,5,Government Organization and Employees,6.291597414589105,10,1476.8181818181818,4947,11476,3.4061648144265044,7.735009174765663,16245,Government Structure
2002,6,Domestic security,5.481416957026713,9,172.2,561,1233,3.519427402862985,6.568640980925997,1722,
2003,6,Domestic security,5.480968858131488,9,173.4,554,1246,3.5512295081967213,7.103932914539062,1734,
2004,6,Domestic security,5.542828685258964,9,200.8,665,1446,3.5711743772241995,7.116820329023144,2008,
2005,6,Domestic security,5.53681592039801,9,201.0,658,1447,3.568383658969805,7.129870744457669,2010,
2006,6,Domestic security,5.509559675550405,9,345.2,1123,2503,3.636459430979979,7.746658065003271,3452,
2007,6,Domestic security,5.590216116602446,9,596.9,2021,4356,3.699938003719777,8.14306881202753,5969,
2008,6,Domestic security,5.592660550458716,9,599.5,2036,4373,3.6954377311960553,8.116859580277994,5995,
2009,6,Domestic security,5.5928939066910175,9,602.3,2044,4392,3.692213366033109,8.194660398374394,6023,
2010,6,Domestic security,5.594972067039106,9,608.6,2058,4434,3.683414043583535,8.117085680868248,6086,
2011,6,Domestic security,5.594412489728842,9,608.5,2056,4434,3.68503937007874,8.156402466650901,6085,
2012,6,Domestic security,5.598988910632746,9,613.2,2085,4467,3.6822822822822814,8.163920316713357,6132,
2013,6,Domestic security,5.597682389423862,9,612.7,2082,4464,3.683704149128082,8.172957536043832,6127,
2014,6,Domestic security,5.6137422943918205,9,665.1,2289,4821,3.633879781420765,7.982895876257969,6651,
2015,6,Domestic security,5.6024506466984345,9,734.5,2499,5314,3.6159527326440175,7.8367519111090065,7345,
2016,6,Domestic security,5.649322096005863,9,818.7,2805,5955,3.667562724014337,8.125148539972356,8187,
2017,6,Domestic security,5.649372586872587,9,828.8,2839,6029,3.668437361664453,8.184444260242133,8288,
2018,6,Domestic security,5.062215132178669,8,975.1111111111112,3358,6408,3.705658783783784,12.148582843031408,8776,
2019,6,Domestic security,5.067853543836077,8,992.3333333333334,3413,6517,3.699254349627175,12.100107149059935,8931,
2020,6,Domestic security,5.716694249069094,9,966.8,3410,7032,3.667298937784522,8.24097919895162,9668,
2021,6,Domestic security,5.7402647975077885,9,1027.2,3611,7462,3.6551601423487545,8.280729600689325,10272,
2022,6,Domestic security,5.759996381400398,9,1105.4,3858,8035,3.661146074859225,8.455896798470459,11054,
2023,6,Domestic security,5.759996381400398,9,1105.4,3858,8035,3.661146074859225,8.455896798470459,11054,
1994,7,Agriculture,4.386947008911895,8,2082.111111111112,5456,13850,3.832685620781346,18.469040056821136,18739,Society
1995,7,Agriculture,4.386947008911895,8,2082.111111111112,5456,13850,3.832685620781346,18.469040056821136,18739,Society
1996,7,Agriculture,4.362492388877613,8,2189.777777777778,5945,14537,3.81106169019532,17.989249133885725,19708,Society
1997,7,Agriculture,4.36366392158844,8,2199.222222222222,5972,14598,3.8098171318575553,18.00463894634953,19793,Society
1998,7,Agriculture,4.387192453564135,8,2285.111111111112,6190,15146,3.794280442804428,17.70878647485572,20566,Society
1999,7,Agriculture,4.403084857456664,8,2326.777777777778,6296,15421,3.793478260869565,17.821116887207495,20941,Society
2000,7,Agriculture,4.418864232667763,8,2498.555555555556,6870,16480,3.743299483935409,17.3005107048815,22487,Society
2001,7,Agriculture,4.4185932776098165,8,2499.111111111112,6868,16484,3.743508655126498,17.34250113807068,22492,Society
2002,7,Agriculture,4.460119480100105,8,2752.6666666666665,7513,18063,3.691402175532708,16.539397095147915,24774,Society
2003,7,Agriculture,4.46249798808949,8,2761.333333333333,7539,18120,3.691473559120618,16.53181678287149,24852,Society
2004,7,Agriculture,4.463993584603047,8,2771.111111111112,7540,18191,3.695214105793451,16.17573794867856,24940,Society
2005,7,Agriculture,4.45998492242987,8,2800.333333333333,7626,18385,3.696391903784101,16.352527316048715,25203,Society
2006,7,Agriculture,4.454048663741523,8,2785.555555555556,7576,18289,3.6969473528978014,16.40616823627957,25070,Society
2007,7,Agriculture,4.456066278977137,8,2789.555555555556,7580,18312,3.6951722107742127,16.45712417552528,25106,Society
2008,7,Agriculture,4.592302629299892,8,3207.4444444444443,8906,20886,3.616839994988097,15.560242664413003,28867,Society
2009,7,Agriculture,4.593606200048438,8,3211.4444444444443,8918,20912,3.616818921286448,15.549831002001635,28903,Society
2010,7,Agriculture,4.593908286621192,8,3290.4444444444443,9173,21400,3.605186267348429,15.436890560627184,29614,Society
2011,7,Agriculture,4.601607845753553,8,3330.8888888888887,9331,21657,3.6025718062732843,15.469619632656592,29978,Society
2012,7,Agriculture,4.600959936004267,8,3333.555555555556,9355,21679,3.604589691217109,15.499423846424197,30002,Society
2013,7,Agriculture,4.60049362951104,8,3331.333333333333,9348,21663,3.603918740233201,15.49752521325339,29982,Society
2014,7,Agriculture,4.638008477256912,8,3512.6666666666665,9919,22787,3.58139798345984,14.942592675752984,31614,Society
2015,7,Agriculture,4.63885818939657,8,3518.777777777778,9950,22828,3.581947743467933,14.936418828170847,31669,Society
2016,7,Agriculture,4.639773264052905,8,3528.333333333333,9976,22887,3.5807397383852053,14.903607391442616,31755,Society
2017,7,Agriculture,4.6440485931894,8,3530.4444444444443,9955,22907,3.5832863426186985,15.206410627718515,31774,Society
2018,7,Agriculture,4.698233133127296,8,3810.8888888888887,10850,24668,3.5614745586708203,15.01963728569789,34298,Society
2019,7,Agriculture,4.69880851807615,8,3814.1111111111113,10862,24692,3.562636222106902,15.061022214837289,34327,Society
2020,7,Agriculture,4.69784193473733,8,3840.8888888888887,10948,24855,3.558838669823947,15.071000072090897,34568,Society
2021,7,Agriculture,4.697397747995485,8,3838.555555555556,10940,24842,3.5596084492529623,15.07900736858407,34547,Society
2022,7,Agriculture,4.703775855153841,8,3878.444444444444,11046,25100,3.5595553742606567,15.059628764171324,34906,Society
2023,7,Agriculture,4.70466647580876,8,3881.1111111111113,11052,25117,3.559461938245185,15.05498358901595,34930,Society
1994,8,Aliens and National and Citizenship,6.1050511310815,9,322.7,1023,2239,3.2651821862348176,8.443848448589593,3227,Society
1995,8,Aliens and National and Citizenship,6.1050511310815,9,322.7,1023,2239,3.2651821862348176,8.443848448589593,3227,Society
1996,8,Aliens and National and Citizenship,6.106487695749441,9,447.0,1390,3088,3.2337192474674383,7.730469379933415,4470,Society
1997,8,Aliens and National and Citizenship,6.102637996009754,9,451.1,1410,3118,3.237616654702082,7.783452180397578,4511,Society
1998,8,Aliens and National and Citizenship,6.122039684232985,9,468.7,1474,3245,3.249653259361997,8.167909033723504,4687,Society
1999,8,Aliens and National and Citizenship,6.13277133825079,9,474.5,1484,3282,3.242652084757348,8.092179432612069,4745,Society
2000,8,Aliens and National and Citizenship,6.166796418840016,9,513.8,1600,3551,3.236925015752993,8.361005793369348,5138,Society
2001,8,Aliens and National and Citizenship,6.166570826145295,9,521.7,1622,3606,3.2377405338299194,8.424547098412921,5217,Society
2002,8,Aliens and National and Citizenship,6.09445142754534,9,556.9,1710,3846,3.231572838073128,8.281255042140723,5569,Society
2003,8,Aliens and National and Citizenship,6.108533994334278,9,564.8,1730,3898,3.226857142857143,8.343392979591703,5648,Society
2004,8,Aliens and National and Citizenship,6.133333333333334,9,592.5,1797,4097,3.2407002188183807,8.29107872194791,5925,Society
2005,8,Aliens and National and Citizenship,6.161447347071231,9,616.3,1868,4257,3.2329485834207765,8.302503058216706,6163,Society
2006,8,Aliens and National and Citizenship,6.161085825747724,9,615.2,1864,4251,3.235665439242504,8.332678528784138,6152,Society
2007,8,Aliens and National and Citizenship,6.16309218950064,9,624.8,1894,4326,3.250260145681582,8.47899316853637,6248,Society
2008,8,Aliens and National and Citizenship,6.175535168195719,9,654.0,2006,4532,3.2564741035856573,8.769380396739646,6540,Society
2009,8,Aliens and National and Citizenship,6.176111195967619,9,654.7,2007,4537,3.256716417910448,8.788823048934336,6547,Society
2010,8,Aliens and National and Citizenship,6.177994513867724,9,656.2,2009,4548,3.2576961271102283,8.605390124145872,6562,Society
2011,8,Aliens and National and Citizenship,6.177984165651645,9,656.8,2012,4551,3.255825483391175,8.60287260811618,6568,Society
2012,8,Aliens and National and Citizenship,6.177984165651645,9,656.8,2012,4551,3.255825483391175,8.60287260811618,6568,Society
2013,8,Aliens and National and Citizenship,6.194155746347342,9,663.9,2020,4601,3.2571148184494603,8.585511204677246,6639,Society
2014,8,Aliens and National and Citizenship,6.194364923911405,9,663.7,2020,4599,3.2561334641805693,8.58110811172633,6637,Society
2015,8,Aliens and National and Citizenship,6.198470993853995,9,667.1,2030,4624,3.258426966292135,8.634241394641444,6671,Society
2016,8,Aliens and National and Citizenship,6.198561366701633,9,667.3,2031,4624,3.2562225475841875,8.630787292590533,6673,Society
2017,8,Aliens and National and Citizenship,6.196228109564436,9,668.1,2031,4630,3.25694783032667,8.659965135747248,6681,Society
2018,8,Aliens and National and Citizenship,5.423065386922615,8,740.8888888888889,2123,4630,3.271344455348381,16.58829564091945,6668,Society
2019,8,Aliens and National and Citizenship,5.419821162444113,8,745.5555555555555,2151,4662,3.27587890625,16.809144735336304,6710,Society
2020,8,Aliens and National and Citizenship,6.195822841060584,9,675.1,2067,4681,3.260869565217391,8.72035286704472,6751,Society
2021,8,Aliens and National and Citizenship,6.196061009921516,9,675.3,2067,4682,3.2602607436021245,8.716909444325672,6753,Society
2022,8,Aliens and National and Citizenship,6.24950578932505,9,708.2,2128,4918,3.272181146025878,8.895880455171323,7082,Society
2023,8,Aliens and National and Citizenship,6.24950578932505,9,708.2,2128,4918,3.272181146025878,8.895880455171323,7082,Society
1994,9,Arbitration,2.735294117647059,5,11.333333333333334,31,53,4.466666666666667,12.78222222222222,68,Society
1995,9,Arbitration,2.735294117647059,5,11.333333333333334,31,53,4.466666666666667,12.78222222222222,68,Society
1996,9,Arbitration,2.735294117647059,5,11.333333333333334,31,53,4.466666666666667,12.78222222222222,68,Society
1997,9,Arbitration,2.735294117647059,5,11.333333333333334,31,53,4.466666666666667,12.78222222222222,68,Society
1998,9,Arbitration,2.735294117647059,5,11.333333333333334,31,53,4.466666666666667,12.78222222222222,68,Society
1999,9,Arbitration,2.735294117647059,5,11.333333333333334,31,53,4.466666666666667,12.78222222222222,68,Society
