Citing,Cited,Year,Weight,Citing Title,Cited Title,Citing Word Count,Cited Word Count,Citing/Word Counts,Cited/Word Counts,Citing Group,Cited Group
40,5,1934,30,"Public Buildings, Property, and Works",Government Organization and Employees,46305,87643,0.0006478781988986,0.000342297730566,Economy,Government Structure
40,23,1934,5,"Public Buildings, Property, and Works",Highways,46305,8282,0.0001079796998164,0.0006037189084762,Economy,Economy
22,5,1934,9,Foreign Relations and Intercourse,Government Organization and Employees,41201,87643,0.0002184412999684,0.0001026893191698,National Defense,Government Structure
30,43,1934,9,Mineral Lands and Mining,Public Lands,30167,128185,0.0002983392448702,7.021102313063151e-05,Economy,Economy
43,16,1934,10,Public Lands,Conservation,128185,156187,7.80122479229239e-05,6.402581520869215e-05,Economy,Society
32,37,1934,16,National Guard,Pay and Allowances of the Uniformed Services,18701,8312,0.0008555692208972,0.0019249278152069,National Defense,National Defense
33,48,1934,15,Navigation and Navigable Waters,Territories and Insular Possessions,78366,138786,0.0001914095398514,0.0001080800657126,Economy,National Defense
25,31,1934,15,Indians,Money and Finance,47497,87442,0.0003158094195422,0.0001715422794538,Society,Economy
34,5,1934,37,Navy,Government Organization and Employees,97143,87643,0.0003808817928208,0.0004221672010314,National Defense,Government Structure
34,10,1934,19,Navy,Armed Forces,97143,109913,0.0001955879476647,0.0001728639924303,National Defense,National Defense
34,37,1934,23,Navy,Pay and Allowances of the Uniformed Services,97143,8312,0.0002367643576994,0.0027670837343599,National Defense,National Defense
5,31,1940,51,Government Organization and Employees,Money and Finance,151366,105756,0.0003369316755414,0.0004822421422897,Government Structure,Economy
31,5,1940,74,Money and Finance,Government Organization and Employees,105756,151366,0.0006997238927342,0.0004888812547071,Economy,Government Structure
26,31,1940,77,Internal Revenue Code,Money and Finance,336245,105756,0.0002289996877276,0.0007280910775747,Economy,Economy
7,5,1940,55,Agriculture,Government Organization and Employees,157585,151366,0.0003490179902909,0.0003633576893093,Society,Government Structure
15,11,1940,122,Commerce and Trade,Bankruptcy,214365,101248,0.0005691227579129,0.0012049620733249,Economy,Economy
16,5,1940,66,Conservation,Government Organization and Employees,254734,151366,0.0002590937998068,0.0004360292271712,Society,Government Structure
38,5,1940,50,Veterans Benefits,Government Organization and Employees,128070,151366,0.0003904114937143,0.0003303251720994,National Defense,Government Structure
39,5,1940,32,Postal Service,Government Organization and Employees,77402,151366,0.0004134260096638,0.0002114081101436,Economy,Government Structure
42,26,1940,70,The Public Health and Welfare,Internal Revenue Code,60243,336245,0.0011619607257274,0.0002081815342979,Society,Economy
10,34,1940,45,Armed Forces,Navy,133759,134195,0.0003364259601223,0.0003353329110622,National Defense,National Defense
10,37,1940,65,Armed Forces,Pay and Allowances of the Uniformed Services,133759,10401,0.0004859486090655,0.0062493990962407,National Defense,National Defense
34,10,1940,57,Navy,Armed Forces,134195,133759,0.0004247550206788,0.0004261395494882,National Defense,National Defense
20,5,1940,18,Education,Government Organization and Employees,18780,151366,0.0009584664536741,0.0001189170619557,Society,Government Structure
40,5,1940,81,"Public Buildings, Property, and Works",Government Organization and Employees,64129,151366,0.0012630791061766,0.000535126778801,Economy,Government Structure
5,3,1946,15,Government Organization and Employees,The President,217672,7634,6.891102208827962e-05,0.0019648938957296,Government Structure,Government Structure
5,39,1946,16,Government Organization and Employees,Postal Service,217672,91878,7.350509022749825e-05,0.0001741439735301,Government Structure,Economy
5,50,1946,76,Government Organization and Employees,War and National Defense,217672,40509,0.0003491491785806,0.0018761262929225,Government Structure,National Defense
39,5,1946,31,Postal Service,Government Organization and Employees,91878,217672,0.0003374039487145,0.0001424161123157,Economy,Government Structure
50,18,1946,23,War and National Defense,Crimes and Criminal Procedure,40509,158271,0.0005677750623318,0.0001453203682291,National Defense,Society
26,1,1946,15,Internal Revenue Code,General Provisions,486193,4915,3.0851945626531025e-05,0.0030518819938962,Economy,Government Structure
26,31,1946,76,Internal Revenue Code,Money and Finance,486193,125466,0.0001563165245077,0.0006057417945897,Economy,Economy
26,45,1946,27,Internal Revenue Code,Railroads,486193,73497,5.553350212775585e-05,0.0003673619331401,Economy,Economy
31,5,1946,90,Money and Finance,Government Organization and Employees,125466,217672,0.0007173258093826,0.0004134661325296,Economy,Government Structure
31,12,1946,51,Money and Finance,Banks and Banking,125466,248577,0.0004064846253168,0.0002051678152041,Economy,Economy
45,42,1946,55,Railroads,The Public Health and Welfare,73497,117315,0.0007483298638039,0.0004688232536333,Economy,Society
28,18,1946,116,Judiciary and Judicial Procedure,Crimes and Criminal Procedure,298656,158271,0.0003884067288117,0.0007329201180254,Society,Society
28,6,1946,11,Judiciary and Judicial Procedure,Surety Bonds,298656,3191,3.683167255973428e-05,0.0034471952366029,Society,Economy
28,15,1946,44,Judiciary and Judicial Procedure,Commerce and Trade,298656,249391,0.0001473266902389,0.0001764297829512,Society,Economy
28,49,1946,25,Judiciary and Judicial Procedure,Transportation,298656,140329,8.370834672666881e-05,0.0001781527695629,Society,Economy
15,11,1946,123,Commerce and Trade,Bankruptcy,249391,151215,0.0004932014387046,0.0008134113679198,Economy,Economy
15,28,1946,49,Commerce and Trade,Judiciary and Judicial Procedure,249391,298656,0.000196478621923,0.0001640683595842,Economy,Society
34,10,1946,95,Navy,Armed Forces,173409,171119,0.0005478377708192,0.0005551692097312,National Defense,National Defense
34,14,1946,40,Navy,Coast Guard,173409,41518,0.0002306685350818,0.0009634375451611,National Defense,National Defense
34,37,1946,94,Navy,Pay and Allowances of the Uniformed Services,173409,29354,0.0005420710574422,0.0032022892961776,National Defense,National Defense
34,41,1946,31,Navy,Public Contracts,173409,63356,0.0001787681146883,0.0004892985668287,National Defense,Economy
10,34,1946,79,Armed Forces,Navy,171119,173409,0.0004616670270396,0.0004555703567865,National Defense,National Defense
10,50,1946,113,Armed Forces,War and National Defense,171119,40509,0.0006603591652592,0.0027895035671085,National Defense,National Defense
10,37,1946,169,Armed Forces,Pay and Allowances of the Uniformed Services,171119,29354,0.0009876168046797,0.0057573073516386,National Defense,National Defense
14,34,1946,45,Coast Guard,Navy,41518,173409,0.0010838672383062,0.000259502101967,National Defense,National Defense
41,50,1946,31,Public Contracts,War and National Defense,63356,40509,0.0004892985668287,0.0007652620405342,Economy,National Defense
42,5,1946,65,The Public Health and Welfare,Government Organization and Employees,117315,217672,0.000554063845203,0.0002986144290492,Society,Government Structure
42,26,1946,80,The Public Health and Welfare,Internal Revenue Code,117315,486193,0.0006819247325576,0.0001645437100081,Society,Economy
42,40,1946,28,The Public Health and Welfare,"Public Buildings, Property, and Works",117315,78339,0.0002386736563951,0.0003574209525268,Society,Economy
40,5,1946,83,"Public Buildings, Property, and Works",Government Organization and Employees,78339,217672,0.0010594978235616,0.0003813076555551,Economy,Government Structure
40,23,1946,9,"Public Buildings, Property, and Works",Highways,78339,20530,0.0001148853061693,0.0004383828543594,Economy,Economy
44,5,1946,21,Public Printing and Documents,Government Organization and Employees,40649,217672,0.0005166178749784,9.647543092359146e-05,Government Structure,Government Structure
46,50,1946,33,Shipping,War and National Defense,216421,40509,0.0001524805818289,0.0008146337850847,Economy,National Defense
12,31,1946,83,Banks and Banking,Money and Finance,248577,125466,0.0003339005619988,0.0006615338019861,Economy,Economy
38,5,1946,44,Veterans Benefits,Government Organization and Employees,184018,217672,0.0002391070438761,0.0002021389981256,National Defense,Government Structure
38,10,1946,59,Veterans Benefits,Armed Forces,184018,171119,0.0003206208088339,0.0003447892986751,National Defense,National Defense
2,5,1946,22,The Congress,Government Organization and Employees,38911,217672,0.0005653928195111,0.0001010694990628,Government Structure,Government Structure
7,16,1946,42,Agriculture,Conservation,194155,277411,0.0002163220107645,0.0001513999084391,Society,Society
16,5,1946,96,Conservation,Government Organization and Employees,277411,217672,0.000346056933575,0.0004410305413649,Society,Government Structure
16,40,1946,27,Conservation,"Public Buildings, Property, and Works",277411,78339,9.732851256799478e-05,0.000344655918508,Society,Economy
20,5,1946,23,Education,Government Organization and Employees,20424,217672,0.0011261261261261,0.000105663567202,Society,Government Structure
29,5,1946,22,Labor,Government Organization and Employees,62766,217672,0.0003505082369435,0.0001010694990628,Society,Government Structure
33,5,1946,45,Navigation and Navigable Waters,Government Organization and Employees,115566,217672,0.0003893878822491,0.0002067330662648,Economy,Government Structure
48,22,1946,23,Territories and Insular Possessions,Foreign Relations and Intercourse,189907,123707,0.000121111912673,0.0001859231894718,National Defense,National Defense
30,43,1946,20,Mineral Lands and Mining,Public Lands,38036,172751,0.0005258176464402,0.0001157735700516,Economy,Economy
18,12,1952,132,Crimes and Criminal Procedure,Banks and Banking,220148,316160,0.000599596634991,0.0004175101214574,Society,Economy
18,28,1952,163,Crimes and Criminal Procedure,Judiciary and Judicial Procedure,220148,312288,0.0007404109962388,0.0005219540936571,Society,Society
12,5,1952,218,Banks and Banking,Government Organization and Employees,316160,364099,0.0006895242914979,0.0005987382552547,Economy,Government Structure
28,48,1952,163,Judiciary and Judicial Procedure,Territories and Insular Possessions,312288,226636,0.0005219540936571,0.0007192149526112,Society,National Defense
48,5,1952,119,Territories and Insular Possessions,Government Organization and Employees,226636,364099,0.0005250710390229,0.0003268341852078,National Defense,Government Structure
48,2,1952,68,Territories and Insular Possessions,The Congress,226636,40150,0.0003000405937273,0.0016936488169364,National Defense,Government Structure
44,5,1952,55,Public Printing and Documents,Government Organization and Employees,52852,364099,0.0010406417921743,0.0001510578166927,Government Structure,Government Structure
10,34,1952,119,Armed Forces,Navy,209103,233075,0.0005690975260995,0.0005105652686903,National Defense,National Defense
34,50,1952,233,Navy,War and National Defense,233075,129812,0.0009996782151667,0.0017949033987612,National Defense,National Defense
34,10,1952,142,Navy,Armed Forces,233075,209103,0.0006092459508741,0.0006790911655978,National Defense,National Defense
15,11,1952,143,Commerce and Trade,Bankruptcy,313326,163752,0.0004563936602771,0.0008732717768332,Economy,Economy
19,5,1952,87,Customs Duties,Government Organization and Employees,151950,364099,0.0005725567620927,0.0002389460009502,Economy,Government Structure
26,5,1952,578,Internal Revenue Code,Government Organization and Employees,765939,364099,0.0007546292850997,0.0015874803281525,Economy,Government Structure
39,5,1952,79,Postal Service,Government Organization and Employees,113491,364099,0.0006960904388894,0.0002169739548858,Economy,Government Structure
40,5,1952,253,"Public Buildings, Property, and Works",Government Organization and Employees,122059,364099,0.0020727680875642,0.0006948659567864,Economy,Government Structure
42,5,1952,165,The Public Health and Welfare,Government Organization and Employees,213756,364099,0.000771908156964,0.0004531734500781,Society,Government Structure
43,5,1952,186,Public Lands,Government Organization and Employees,189973,364099,0.000979086501766,0.0005108500709971,Economy,Government Structure
49,5,1952,145,Transportation,Government Organization and Employees,190288,364099,0.0007620028588245,0.0003982433349171,Economy,Government Structure
16,5,1952,268,Conservation,Government Organization and Employees,337423,364099,0.0007942552819458,0.0007360635431572,Society,Government Structure
25,5,1952,158,Indians,Government Organization and Employees,104439,364099,0.0015128448185064,0.0004339479097717,Society,Government Structure
31,5,1952,242,Money and Finance,Government Organization and Employees,149879,364099,0.001614635806217,0.0006646543934479,Economy,Government Structure
46,5,1952,200,Shipping,Government Organization and Employees,274278,364099,0.0007291871750559,0.0005493011516098,Economy,Government Structure
46,14,1952,129,Shipping,Coast Guard,274278,66287,0.000470325727911,0.0019460829423567,Economy,National Defense
23,5,1952,163,Highways,Government Organization and Employees,40303,364099,0.0040443639431307,0.000447680438562,Economy,Government Structure
20,5,1952,36,Education,Government Organization and Employees,33848,364099,0.0010635783502718,9.887420728977558e-05,Society,Government Structure
29,5,1952,104,Labor,Government Organization and Employees,105533,364099,0.0009854737380724,0.0002856365988371,Society,Government Structure
33,5,1952,178,Navigation and Navigable Waters,Government Organization and Employees,167422,364099,0.0010631816607136,0.0004888780249327,Economy,Government Structure
5,2,1958,61,Government Organization and Employees,The Congress,420607,53975,0.0001450284945329,0.0011301528485409,Government Structure,Government Structure
5,10,1958,275,Government Organization and Employees,Armed Forces,420607,709251,0.0006538169835499,0.000387732974645,Government Structure,National Defense
2,5,1958,56,The Congress,Government Organization and Employees,53975,420607,0.0010375173691523,0.0001331409130138,Government Structure,Government Structure
10,32,1958,77,Armed Forces,National Guard,709251,27113,0.0001085652329006,0.0028399660679378,National Defense,National Defense
10,37,1958,168,Armed Forces,Pay and Allowances of the Uniformed Services,709251,49687,0.0002368695990559,0.0033811660997846,National Defense,National Defense
32,10,1958,159,National Guard,Armed Forces,27113,709251,0.0058643455169107,0.0002241801562493,National Defense,National Defense
14,5,1958,97,Coast Guard,Government Organization and Employees,81647,420607,0.0011880412017587,0.0002306190814703,National Defense,Government Structure
17,28,1958,41,Copyrights,Judiciary and Judicial Procedure,24802,184465,0.0016530924925409,0.0002222643861979,Society,Society
28,48,1958,133,Judiciary and Judicial Procedure,Territories and Insular Possessions,184465,276041,0.0007210039844957,0.0004818124843773,Society,National Defense
18,12,1958,176,Crimes and Criminal Procedure,Banks and Banking,232634,402199,0.0007565532123421,0.0004375943251972,Society,Economy
18,28,1958,173,Crimes and Criminal Procedure,Judiciary and Judicial Procedure,232634,184465,0.0007436574189499,0.0009378472881034,Society,Society
12,5,1958,255,Banks and Banking,Government Organization and Employees,402199,420607,0.0006340145052573,0.0006062666574736,Economy,Government Structure
48,2,1958,73,Territories and Insular Possessions,The Congress,276041,53975,0.0002644534688687,0.0013524779990736,National Defense,Government Structure
44,5,1958,67,Public Printing and Documents,Government Organization and Employees,56148,420607,0.0011932749162926,0.0001592935923558,Government Structure,Government Structure
7,5,1958,208,Agriculture,Government Organization and Employees,302467,420607,0.0006876783252387,0.0004945233911941,Society,Government Structure
15,5,1958,215,Commerce and Trade,Government Organization and Employees,358993,420607,0.0005988974715384,0.0005111660053208,Economy,Government Structure
19,5,1958,86,Customs Duties,Government Organization and Employees,182760,420607,0.0004705624863208,0.0002044664021283,Economy,Government Structure
39,5,1958,114,Postal Service,Government Organization and Employees,148767,420607,0.0007662989775958,0.0002710368586352,Economy,Government Structure
40,5,1958,272,"Public Buildings, Property, and Works",Government Organization and Employees,143730,420607,0.0018924372086551,0.0006466844346385,Economy,Government Structure
40,44,1958,48,"Public Buildings, Property, and Works",Public Printing and Documents,143730,56148,0.0003339595074097,0.0008548835221201,Economy,Government Structure
42,5,1958,297,The Public Health and Welfare,Government Organization and Employees,401155,420607,0.0007403622041355,0.0007061223422339,Society,Government Structure
42,26,1958,212,The Public Health and Welfare,Internal Revenue Code,401155,564375,0.0005284740312348,0.0003756367663344,Society,Economy
43,5,1958,201,Public Lands,Government Organization and Employees,224893,420607,0.0008937583650891,0.0004778807770674,Economy,Government Structure
16,5,1958,306,Conservation,Government Organization and Employees,403338,420607,0.000758668907963,0.0007275199889683,Society,Government Structure
20,5,1958,83,Education,Government Organization and Employees,69442,420607,0.0011952420725209,0.0001973338532168,Society,Government Structure
25,5,1958,165,Indians,Government Organization and Employees,145691,420607,0.0011325339245389,0.0003922901901299,Society,Government Structure
31,5,1958,262,Money and Finance,Government Organization and Employees,175919,420607,0.001489321790142,0.0006229092716003,Economy,Government Structure
46,5,1958,215,Shipping,Government Organization and Employees,326766,420607,0.0006579631907848,0.0005111660053208,Economy,Government Structure
50,10,1958,395,War and National Defense,Armed Forces,105544,709251,0.0037425149700598,0.0005569255453993,National Defense,National Defense
29,5,1958,129,Labor,Government Organization and Employees,179133,420607,0.0007201353184505,0.0003066996031925,Society,Government Structure
5,2,1964,67,Government Organization and Employees,The Congress,503521,67694,0.0001330629705613,0.0009897479835731,Government Structure,Government Structure
5,3,1964,47,Government Organization and Employees,The President,503521,22379,9.334268084151406e-05,0.0021001832074712,Government Structure,Government Structure
5,10,1964,309,Government Organization and Employees,Armed Forces,503521,753295,0.0006136784761708,0.0004101978640506,Government Structure,National Defense
5,22,1964,119,Government Organization and Employees,Foreign Relations and Intercourse,503521,334530,0.0002363357238327,0.000355722954593,Government Structure,National Defense
5,39,1964,92,Government Organization and Employees,Postal Service,503521,112179,0.000182713332711,0.0008201178473689,Government Structure,Economy
2,5,1964,81,The Congress,Government Organization and Employees,67694,503521,0.001196560995066,0.0001608671733651,Government Structure,Government Structure
10,32,1964,76,Armed Forces,National Guard,753295,29683,0.0001008900895399,0.0025603881009331,National Defense,National Defense
10,37,1964,260,Armed Forces,Pay and Allowances of the Uniformed Services,753295,48459,0.0003451503063208,0.0053653604077673,National Defense,National Defense
22,5,1964,241,Foreign Relations and Intercourse,Government Organization and Employees,334530,503521,0.0007204137147639,0.0004786294911235,National Defense,Government Structure
39,5,1964,90,Postal Service,Government Organization and Employees,112179,503521,0.000802289198513,0.000178741303739,Economy,Government Structure
32,10,1964,164,National Guard,Armed Forces,29683,753295,0.0055250480072768,0.0002177101932177,National Defense,National Defense
37,10,1964,100,Pay and Allowances of the Uniformed Services,Armed Forces,48459,753295,0.0020636001568336,0.0001327501178157,National Defense,National Defense
13,42,1964,35,Census,The Public Health and Welfare,16737,617149,0.0020911752404851,5.671239846455232e-05,Government Structure,Society
42,5,1964,405,The Public Health and Welfare,Government Organization and Employees,617149,503521,0.0006562434679469,0.0008043358668258,Society,Government Structure
42,26,1964,340,The Public Health and Welfare,Internal Revenue Code,617149,789311,0.000550920442227,0.0004307554310024,Society,Economy
42,20,1964,34,The Public Health and Welfare,Education,617149,109823,5.509204422270797e-05,0.0003095890660426,Society,Society
14,5,1964,93,Coast Guard,Government Organization and Employees,79937,503521,0.0011634161902498,0.000184699347197,National Defense,Government Structure
17,28,1964,43,Copyrights,Judiciary and Judicial Procedure,27941,191340,0.00153895708815,0.0002247308456151,Society,Society
28,35,1964,25,Judiciary and Judicial Procedure,Patents,191340,30637,0.0001306574683808,0.0008160067891764,Society,Economy
28,48,1964,161,Judiciary and Judicial Procedure,Territories and Insular Possessions,191340,159000,0.0008414340963729,0.0010125786163522,Society,National Defense
18,12,1964,166,Crimes and Criminal Procedure,Banks and Banking,249629,439040,0.0006649868404712,0.0003780976676384,Society,Economy
18,28,1964,185,Crimes and Criminal Procedure,Judiciary and Judicial Procedure,249629,191340,0.0007410997920914,0.0009668652660186,Society,Society
12,5,1964,217,Banks and Banking,Government Organization and Employees,439040,503521,0.0004942602040816,0.0004309651434597,Economy,Government Structure
48,2,1964,60,Territories and Insular Possessions,The Congress,159000,67694,0.000377358490566,0.0008863414778266,National Defense,Government Structure
44,5,1964,61,Public Printing and Documents,Government Organization and Employees,60952,503521,0.0010007875049219,0.0001211468836453,Government Structure,Government Structure
44,40,1964,47,Public Printing and Documents,"Public Buildings, Property, and Works",60952,139296,0.000771098569366,0.0003374109809326,Government Structure,Economy
40,5,1964,246,"Public Buildings, Property, and Works",Government Organization and Employees,139296,503521,0.0017660234321157,0.0004885595635534,Economy,Government Structure
40,44,1964,48,"Public Buildings, Property, and Works",Public Printing and Documents,139296,60952,0.0003445899379738,0.0007875049219057,Economy,Government Structure
7,5,1964,198,Agriculture,Government Organization and Employees,347316,503521,0.0005700860311647,0.0003932308682259,Society,Government Structure
19,5,1964,85,Customs Duties,Government Organization and Employees,289179,503521,0.000293935590067,0.0001688112313091,Economy,Government Structure
20,5,1964,112,Education,Government Organization and Employees,109823,503521,0.0010198228057874,0.0002224336224308,Society,Government Structure
25,5,1964,154,Indians,Government Organization and Employees,163862,503521,0.0009398152103599,0.0003058462308424,Society,Government Structure
31,5,1964,223,Money and Finance,Government Organization and Employees,175752,503521,0.0012688333560926,0.0004428812303756,Economy,Government Structure
43,5,1964,170,Public Lands,Government Organization and Employees,259103,503521,0.000656109732423,0.0003376224626182,Economy,Government Structure
43,30,1964,28,Public Lands,Mineral Lands and Mining,259103,94325,0.000108065132399,0.0002968460111317,Economy,Economy
15,5,1964,206,Commerce and Trade,Government Organization and Employees,359848,503521,0.0005724639292145,0.0004091189841138,Economy,Government Structure
16,5,1964,335,Conservation,Government Organization and Employees,490844,503521,0.0006824979015736,0.0006653148528065,Society,Government Structure
29,5,1964,139,Labor,Government Organization and Employees,96019,503521,0.0014476301565315,0.0002760560135525,Society,Government Structure
46,5,1964,215,Shipping,Government Organization and Employees,351258,503521,0.0006120857033861,0.0004269931144877,Economy,Government Structure
46,14,1964,128,Shipping,Coast Guard,351258,79937,0.0003644045117833,0.001601260993032,Economy,National Defense
50,10,1964,418,War and National Defense,Armed Forces,171447,753295,0.0024380712406749,0.0005548954924697,National Defense,National Defense
2,5,1970,180,The Congress,Government Organization and Employees,117378,438832,0.0015335071308081,0.0004101797498815,Government Structure,Government Structure
3,5,1970,42,The President,Government Organization and Employees,29082,438832,0.0014441922838869,9.570860830568418e-05,Government Structure,Government Structure
3,10,1970,40,The President,Armed Forces,29082,800175,0.0013754212227494,4.998906489205486e-05,Government Structure,National Defense
10,1,1970,29,Armed Forces,General Provisions,800175,5741,3.624207204673977e-05,0.0050513847761713,National Defense,Government Structure
10,5,1970,213,Armed Forces,Government Organization and Employees,800175,438832,0.0002661917705501,0.0004853793706931,National Defense,Government Structure
10,32,1970,114,Armed Forces,National Guard,800175,32908,0.0001424688349423,0.0034642032332563,National Defense,National Defense
10,37,1970,343,Armed Forces,Pay and Allowances of the Uniformed Services,800175,66003,0.0004286562314493,0.0051967334818114,National Defense,National Defense
32,10,1970,174,National Guard,Armed Forces,32908,800175,0.0052874680928649,0.0002174524322804,National Defense,National Defense
37,10,1970,148,Pay and Allowances of the Uniformed Services,Armed Forces,66003,800175,0.0022423223186824,0.0001849595401006,National Defense,National Defense
13,42,1970,40,Census,The Public Health and Welfare,18313,1154544,0.0021842407033255,3.4645712939480866e-05,Government Structure,Society
42,5,1970,661,The Public Health and Welfare,Government Organization and Employees,1154544,438832,0.0005725204063249,0.0015062711926204,Society,Government Structure
42,26,1970,318,The Public Health and Welfare,Internal Revenue Code,1154544,1040019,0.0002754334178688,0.0003057636447026,Society,Economy
42,38,1970,101,The Public Health and Welfare,Veterans Benefits,1154544,154402,8.74804251721892e-05,0.0006541366044481,Society,National Defense
42,12,1970,225,The Public Health and Welfare,Banks and Banking,1154544,596284,0.0001948821352845,0.0003773369736568,Society,Economy
42,20,1970,132,The Public Health and Welfare,Education,1154544,264242,0.0001143308527002,0.0004995420864207,Society,Society
42,40,1970,154,The Public Health and Welfare,"Public Buildings, Property, and Works",1154544,169466,0.000133385994817,0.0009087368557704,Society,Economy
42,45,1970,74,The Public Health and Welfare,Railroads,1154544,143008,6.409456893803961e-05,0.0005174535690311,Society,Economy
